,Seed,Errors
209,316,"compilation error in functions f0 and f0 at position line 6: assembler error Invalid pexpr for oprd, constant not allowed
PLEASE REPORT
"
210,318,": line -1 (-1): variable v0.92 is an array (function argument)
"
211,320,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 5 (8-10): typing error: the expression has type U64 instead of U64[5]
"
212,322,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 4 (41-42): parse error
"
213,325,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 25 (8-10): variable v2.94 is an array (function return)
"
214,327,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 7 (8-10): variable v1.92 is an array (function return)
"
215,328,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 7 (8-10): typing error: the expression has type U64 instead of U64[5]
"
216,331,": line -1 (-1): variable v0.92 is an array (function argument)
"
217,332,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 8 (23-25): typing error: can not implicitly cast U32 into U64
"
218,333,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 14 (1-17), variables result and b1 will be merged to v0
"
219,334,"compilation error in functions main and main at position line 10 from line 21: linearisation error assign not a word
PLEASE REPORT
"
220,335,"Register allocation: no register bank for type int
"
221,336,"at line line 4: can not allocate v0.94 into RAX.41, the variable is already allocated in RDI.48
"
222,337,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 14 (1-17), variables result and b1 will be merged to v0
"
223,338,"at line line 4: can not allocate v0.94 into RAX.41, the variable is already allocated in RDI.48
"
224,339,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 20 (1-17), variables result and b1 will be merged to v0
Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
225,340,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
226,341,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 12 (1-17), variables result and b1 will be merged to v0
"
227,342,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 13 (1-17), variables result and b1 will be merged to v0
Register allocation: no register bank for type bool
"
228,343,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 25 (1-17), variables result and b1 will be merged to v0
Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
229,344,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
230,345,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
